Customer ID,Discount,Order Date,Order ID,Order Priority,Postal Code,Product ID,Profit,Quantity,Row ID (unique),Sales,Ship Date,Ship Mode,Shipping Cost,Order Line ID
JB-160007,0.1,2017-03-06,ID-2017-JB160007-42800,Medium,-,OFF-AR-6118,19.752,2,21233,46.872,2017-03-11,Standard Class,2.87,ID-2017-JB160007-42800OFF-AR-6118JB-160007
MO-17800102,0.35,2017-02-28,ID-2017-MO17800102-42794,Medium,-,TEC-CO-3607,-114.492,8,24863,743.028,2017-03-05,Standard Class,55.15,ID-2017-MO17800102-42794TEC-CO-3607MO-17800102
GZ-1447048,0 discount,2017-02-25,ES-2017-GZ1447048-42791,Medium,-,OFF-EN-3097,116.4,5,16533,237.6,2017-03-03,Standard Class,14.9,ES-2017-GZ1447048-42791OFF-EN-3097GZ-1447048
CM-1219031,0 discount,2017-07-30,MX-2017-CM1219031-42946,Medium,-,FUR-CH-5456,64.92,2,4150,231.92,2017-08-03,Standard Class,15.555,MX-2017-CM1219031-42946FUR-CH-5456CM-1219031
ZC-2191082,0 discount,2017-11-07,MX-2017-ZC2191082-43046,High,-,OFF-EN-3656,12.56,2,6711,27.32,2017-11-11,Standard Class,4.505,MX-2017-ZC2191082-43046OFF-EN-3656ZC-2191082
SF-2020039,0 discount,2017-06-09,MX-2017-SF2020039-42895,Medium,-,FUR-CH-4701,96.36,3,1256,332.28,2017-06-15,Standard Class,37.085,MX-2017-SF2020039-42895FUR-CH-4701SF-2020039
SU-2066527,0 discount,2017-03-27,IN-2017-SU2066527-42821,High,-,OFF-SU-2985,2.64,4,29977,66.84,2017-03-31,Second Class,3.01,IN-2017-SU2066527-42821OFF-SU-2985SU-2066527
JH-154307,0.4,2017-06-10,ID-2017-JH154307-42896,Medium,-,OFF-BI-6380,-2.748,1,21543,7.812,2017-06-15,Standard Class,1.3,ID-2017-JH154307-42896OFF-BI-6380JH-154307
EG-1390045,0.15,2017-08-12,ES-2017-EG1390045-42959,Medium,-,TEC-MA-6134,-20.022,4,13036,130.458,2017-08-16,Standard Class,12.11,ES-2017-EG1390045-42959TEC-MA-6134EG-1390045
MK-181601408,0 discount,2017-05-05,CA-2017-MK18160140-42860,Medium,23602,OFF-PA-6594,15.552,5,33765,32.4,2017-05-09,Standard Class,3.4,CA-2017-MK18160140-42860OFF-PA-6594MK-181601408
RR-9525134,0.6,2017-10-03,TU-2017-RR9525134-43011,Medium,-,OFF-AR-3495,-2.154,1,41705,4.776,2017-10-06,Second Class,1.57,TU-2017-RR9525134-43011OFF-AR-3495RR-9525134
GA-4515107,0 discount,2017-09-05,RO-2017-GA4515107-42983,High,-,OFF-ST-5688,2.88,1,42781,24.0,2017-09-06,First Class,5.32,RO-2017-GA4515107-42983OFF-ST-5688GA-4515107
SC-2068027,0 discount,2017-08-19,IN-2017-SC2068027-42966,Medium,-,OFF-LA-3323,27.75,5,23028,59.25,2017-08-24,Standard Class,6.17,IN-2017-SC2068027-42966OFF-LA-3323SC-2068027
EJ-372095,0.7,2017-03-19,NI-2017-EJ372095-42813,High,-,OFF-AR-3501,-123.744,4,48902,57.096,2017-03-23,Standard Class,6.39,NI-2017-EJ372095-42813OFF-AR-3501EJ-372095
CA-1277582,0 discount,2017-04-23,MX-2017-CA1277582-42848,High,-,OFF-AP-4502,133.36,2,8190,666.84,2017-04-25,First Class,125.477,MX-2017-CA1277582-42848OFF-AP-4502CA-1277582
KL-1655559,0.17,2017-08-16,IN-2017-KL1655559-42963,Medium,-,OFF-ST-6251,2.0925,3,24576,57.8925,2017-08-21,Second Class,5.39,IN-2017-KL1655559-42963OFF-ST-6251KL-1655559
MG-176801404,0.2,2017-06-09,US-2017-MG17680140-42895,Medium,90049,TEC-PH-6013,-3.504,2,39112,17.52,2017-06-11,First Class,1.94,US-2017-MG17680140-42895TEC-PH-6013MG-176801404
SU-10665136,0.7,2017-04-09,UG-2017-SU10665136-42834,Low,-,TEC-PH-5831,-26.787,1,47128,19.593,2017-04-15,Standard Class,2.3,UG-2017-SU10665136-42834TEC-PH-5831SU-10665136
TM-2101055,0.4,2017-02-04,MX-2017-TM2101055-42770,High,-,FUR-CH-5753,6.192,2,2284,41.352,2017-02-08,Standard Class,4.873,MX-2017-TM2101055-42770FUR-CH-5753TM-2101055
CW-11905139,0.1,2017-12-23,ES-2017-CW11905139-43092,Medium,-,FUR-BO-5761,740.178,6,19738,2379.618,2017-12-29,Standard Class,101.87,ES-2017-CW11905139-43092FUR-BO-5761CW-11905139
PB-191057,0.1,2017-01-20,IN-2017-PB191057-42755,High,-,TEC-PH-3793,84.888,3,24575,238.788,2017-01-24,Standard Class,27.39,IN-2017-PB191057-42755TEC-PH-3793PB-191057
DJ-1363059,0.17,2017-10-27,ID-2017-DJ1363059-43035,Critical,-,OFF-BI-4825,-1.1349,3,23048,17.4051,2017-10-29,Second Class,3.12,ID-2017-DJ1363059-43035OFF-BI-4825DJ-1363059
DC-000000000001,0 discount,2017-03-26,CA-2017-JL15835140-42820,Low,10024,OFF-AR-5288,2.9835,5,36904,11.05,2017-04-01,Standard Class,1.2,CA-2017-JL15835140-42820OFF-AR-5288DC-000000000001
ZC-2191045,0 discount,2017-09-10,ES-2017-ZC2191045-42988,Medium,-,OFF-BI-4804,35.46,3,12226,95.85,2017-09-13,First Class,1.6,ES-2017-ZC2191045-42988OFF-BI-4804ZC-2191045
BO-113501404,0.2,2017-02-03,CA-2017-BO11350140-42769,Medium,92105,OFF-BI-4344,10.062,2,40044,30.96,2017-02-08,Standard Class,1.96,CA-2017-BO11350140-42769OFF-BI-4344BO-113501404
