Customer ID,Discount,Order Date,Order ID,Order Priority,Postal Code,Product ID,Profit,Quantity,Row ID (unique),Sales,Ship Date,Ship Mode,Shipping Cost,Order Line ID
RD-1990058,0 discount,2014-02-18,IN-2014-RD1990058-41688,Medium,-,FUR-CH-4560,18.0,3,27288,300.42,2014-02-23,Standard Class,12.23,IN-2014-RD1990058-41688FUR-CH-4560RD-1990058
EL-3735142,0 discount,2014-10-06,UZ-2014-EL3735142-41918,Critical,-,OFF-ST-4108,18.33,1,48180,47.04,2014-10-09,First Class,7.71,UZ-2014-EL3735142-41918OFF-ST-4108EL-3735142
TS-2108536,0.2,2014-06-10,US-2014-TS2108536-41800,High,-,OFF-AR-6115,6.288,2,7011,23.968,2014-06-14,Standard Class,2.633,US-2014-TS2108536-41800OFF-AR-6115TS-2108536
JC-1610564,0.4,2014-05-24,IT-2014-JC1610564-41783,Medium,-,TEC-PH-5815,-370.512,6,17176,600.588,2014-05-28,Standard Class,26.54,IT-2014-JC1610564-41783TEC-PH-5815JC-1610564
MH-177851404,0 discount,2014-11-17,CA-2014-MH17785140-41960,Medium,98105,FUR-FU-4760,55.016,2,40933,137.54,2014-11-24,Standard Class,11.27,CA-2014-MH17785140-41960FUR-FU-4760MH-177851404
EB-387060,0 discount,2014-09-05,IR-2014-EB387060-41887,High,-,OFF-AR-5919,19.56,2,46996,49.02,2014-09-07,First Class,2.24,IR-2014-EB387060-41887OFF-AR-5919EB-387060
KT-164651404,0.2,2014-09-25,US-2014-KT16465140-41907,Medium,90049,FUR-CH-5048,0.0,2,32656,145.568,2014-09-30,Second Class,9.5,US-2014-KT16465140-41907FUR-CH-5048KT-164651404
SH-1997548,0 discount,2014-06-08,ES-2014-SH1997548-41798,High,-,OFF-LA-3312,5.94,3,13275,31.68,2014-06-10,Second Class,4.2,ES-2014-SH1997548-41798OFF-LA-3312SH-1997548
BS-1175527,0 discount,2014-12-25,IN-2014-BS1175527-41998,High,-,TEC-AC-5863,31.8,4,26690,159.0,2014-12-29,Standard Class,17.9,IN-2014-BS1175527-41998TEC-AC-5863BS-1175527
DP-1316582,0.002,2014-11-21,MX-2014-DP1316582-41964,Medium,-,TEC-CO-3703,74.57552,2,2736,191.85552,2014-11-27,Standard Class,2.085,MX-2014-DP1316582-41964TEC-CO-3703DP-1316582
MP-7965108,0 discount,2014-09-14,RS-2014-MP7965108-41896,Medium,-,OFF-BI-2912,0.48,2,46703,12.24,2014-09-19,Standard Class,1.41,RS-2014-MP7965108-41896OFF-BI-2912MP-7965108
ME-732095,0.7,2014-11-17,NI-2014-ME732095-41960,High,-,OFF-AR-6124,-10.062,2,43189,7.938,2014-11-19,First Class,1.63,NI-2014-ME732095-41960OFF-AR-6124ME-732095
SW-1027575,0.7,2014-04-13,LH-2014-SW1027575-41742,Medium,-,OFF-ST-4267,-54.057,1,46145,62.343,2014-04-19,Standard Class,6.28,LH-2014-SW1027575-41742OFF-ST-4267SW-1027575
AR-1057055,0.4,2014-04-20,US-2014-AR1057055-41749,High,-,TEC-PH-3803,-81.024,8,8876,485.856,2014-04-23,First Class,110.514,US-2014-AR1057055-41749TEC-PH-3803AR-1057055
GD-14590130,0.27,2014-02-02,ID-2014-GD14590130-41672,Medium,-,FUR-CH-5379,-109.9365,1,20564,334.3035,2014-02-04,Second Class,46.3,ID-2014-GD14590130-41672FUR-CH-5379GD-14590130
DC-000000000001,0.1,2014-12-23,IN-2014-PG188207-41996,High,-,OFF-SU-6166,22.128,4,23629,100.008,2014-12-25,First Class,14.62,IN-2014-PG188207-41996OFF-SU-6166DC-000000000001
AP-109151404,0.2,2014-08-22,CA-2014-AP10915140-41873,Medium,80219,TEC-PH-3814,10.773,9,38319,143.64,2014-08-26,Standard Class,16.43,CA-2014-AP10915140-41873TEC-PH-3814AP-109151404
NC-853533,0 discount,2014-04-04,CG-2014-NC853533-41733,High,-,OFF-LA-4552,10.32,4,48819,47.4,2014-04-06,Second Class,8.77,CG-2014-NC853533-41733OFF-LA-4552NC-853533
SJ-1021538,0 discount,2014-10-31,EG-2014-SJ1021538-41943,Medium,-,OFF-BI-3292,12.24,6,45070,28.62,2014-11-06,Standard Class,3.24,EG-2014-SJ1021538-41943OFF-BI-3292SJ-1021538
JR-6210134,0.6,2014-11-17,TU-2014-JR6210134-41960,Medium,-,OFF-FA-6189,-22.776,4,41441,18.144,2014-11-22,Second Class,1.35,TU-2014-JR6210134-41960OFF-FA-6189JR-6210134
BE-1145527,0 discount,2014-03-03,IN-2014-BE1145527-41701,High,-,TEC-PH-3784,0.0,3,21858,554.76,2014-03-08,Standard Class,83.22,IN-2014-BE1145527-41701TEC-PH-3784BE-1145527
NB-1865548,0 discount,2014-10-12,ES-2014-NB1865548-41924,Critical,-,OFF-AR-3477,29.97,3,17908,157.86,2014-10-12,Same Day,44.3,ES-2014-NB1865548-41924OFF-AR-3477NB-1865548
BK-112601406,0 discount,2014-08-02,CA-2014-BK11260140-41853,Medium,10035,OFF-PA-6433,18.7812,2,32152,39.96,2014-08-07,Standard Class,3.77,CA-2014-BK11260140-41853OFF-PA-6433BK-112601406
KH-163601402,0.2,2014-05-20,CA-2014-KH16360140-41779,Critical,77070,OFF-PA-3013,1.6308,1,41090,4.832,2014-05-22,Second Class,1.81,CA-2014-KH16360140-41779OFF-PA-3013KH-163601402
TH-2123598,0.4,2014-10-06,US-2014-TH2123598-41918,Medium,-,OFF-LA-4555,-4.28,5,6265,22.92,2014-10-10,Standard Class,2.422,US-2014-TH2123598-41918OFF-LA-4555TH-2123598
PF-191201408,0 discount,2014-05-04,CA-2014-PF19120140-41763,Medium,40475,OFF-AR-5331,1.9024,2,35509,6.56,2014-05-08,Second Class,1.34,CA-2014-PF19120140-41763OFF-AR-5331PF-191201408
DP-3390117,0 discount,2014-07-25,SF-2014-DP3390117-41845,Medium,-,FUR-BO-3642,18.21,1,44401,364.32,2014-07-29,Standard Class,31.47,SF-2014-DP3390117-41845FUR-BO-3642DP-3390117
LR-6915134,0.6,2014-11-20,TU-2014-LR6915134-41963,High,-,OFF-FA-3044,-5.13,1,42499,4.56,2014-11-20,Same Day,1.64,TU-2014-LR6915134-41963OFF-FA-3044LR-6915134
AB-255117,0 discount,2014-11-15,SF-2014-AB255117-41958,Low,-,OFF-BI-3253,10.02,2,46496,25.8,2014-11-21,Standard Class,2.52,SF-2014-AB255117-41958OFF-BI-3253AB-255117
MS-17365102,0.45,2014-01-07,ID-2014-MS17365102-41646,High,-,TEC-AC-5136,-44.838,2,21442,273.702,2014-01-11,Standard Class,42.19,ID-2014-MS17365102-41646TEC-AC-5136MS-17365102
MM-1726058,0 discount,2014-05-05,IN-2014-MM1726058-41764,Medium,-,OFF-BI-6380,14.76,6,21812,78.12,2014-05-09,Standard Class,4.67,IN-2014-MM1726058-41764OFF-BI-6380MM-1726058
DC-000000000001,0.4,2014-12-29,US-2014-AR10345140-42002,Medium,19143,FUR-TA-4622,-192.0468,3,38656,523.764,2015-01-02,Second Class,28.73,US-2014-AR10345140-42002FUR-TA-4622DC-000000000001
LP-7095134,0.6,2014-09-20,TU-2014-LP7095134-41902,High,-,OFF-ST-6251,-9.09,1,47293,9.3,2014-09-20,Same Day,1.85,TU-2014-LP7095134-41902OFF-ST-6251LP-7095134
MP-181751406,0.2,2014-11-24,CA-2014-MP18175140-41967,High,10009,FUR-BO-5946,-37.9434,3,36024,275.952,2014-11-28,Second Class,24.62,CA-2014-MP18175140-41967FUR-BO-5946MP-181751406
DC-000000000001,0.7,2014-10-24,CA-2014-EH14185140-41936,Medium,19120,OFF-BI-4371,-9.5886,3,39006,13.698,2014-10-28,Standard Class,1.47,CA-2014-EH14185140-41936OFF-BI-4371DC-000000000001
CC-222023,0 discount,2014-06-23,CA-2014-CC222023-41813,Medium,-,OFF-LA-4686,3.24,2,49148,9.12,2014-06-26,First Class,1.75,CA-2014-CC222023-41813OFF-LA-4686CC-222023
BF-11170102,0.35,2014-06-29,IN-2014-BF11170102-41819,Medium,-,FUR-BO-5951,17.427,2,26700,566.787,2014-07-03,Standard Class,55.2,IN-2014-BF11170102-41819FUR-BO-5951BF-11170102
PO-1919518,0.6,2014-10-03,US-2014-PO1919518-41915,Medium,-,FUR-CH-5380,-365.12,7,2716,859.04,2014-10-08,Standard Class,40.279,US-2014-PO1919518-41915FUR-CH-5380PO-1919518
