Customer ID,Discount,Order Date,Order ID,Order Priority,Postal Code,Product ID,Profit,Quantity,Row ID (unique),Sales,Ship Date,Ship Mode,Shipping Cost,Order Line ID
BB-11545104,0.5,2015-11-25,IT-2015-BB11545104-42333,Low,-,OFF-BI-3726,-65.79,6,13513,149.31,2015-12-01,Standard Class,13.63,IT-2015-BB11545104-42333OFF-BI-3726BB-11545104
AG-105251406,0 discount,2015-09-07,CA-2015-AG10525140-42254,Medium,10011,TEC-AC-4940,16.2,5,39924,90.0,2015-09-12,Standard Class,4.4,CA-2015-AG10525140-42254TEC-AC-4940AG-105251406
KB-163151406,0.7,2015-02-13,US-2015-KB16315140-42048,High,44312,OFF-BI-4368,-11.9616,2,35618,14.952,2015-02-18,Standard Class,2.27,US-2015-KB16315140-42048OFF-BI-4368KB-163151406
VP-217608,0 discount,2015-06-21,ES-2015-VP217608-42176,Medium,-,OFF-SU-4322,27.24,2,10919,94.08,2015-06-28,Standard Class,9.18,ES-2015-VP217608-42176OFF-SU-4322VP-217608
RB-1946536,0.2,2015-04-25,US-2015-RB1946536-42119,High,-,FUR-CH-4631,-12.4,5,3481,141.6,2015-04-27,First Class,28.967,US-2015-RB1946536-42119FUR-CH-4631RB-1946536
JJ-157607,0.1,2015-11-15,IN-2015-JJ157607-42323,High,-,TEC-AC-5889,100.74,10,21564,478.44,2015-11-20,Standard Class,36.32,IN-2015-JJ157607-42323TEC-AC-5889JJ-157607
YC-2189545,0.1,2015-03-02,ES-2015-YC2189545-42065,Medium,-,FUR-BO-3886,-8.694,2,13067,259.146,2015-03-07,Second Class,30.06,ES-2015-YC2189545-42065FUR-BO-3886YC-2189545
JR-1567027,0 discount,2015-11-19,IN-2015-JR1567027-42327,High,-,FUR-FU-6236,17.04,2,21606,100.5,2015-11-23,Standard Class,14.34,IN-2015-JR1567027-42327FUR-FU-6236JR-1567027
DC-000000000001,0.45,2015-11-13,ID-2015-BD11620102-42321,High,-,OFF-ST-6046,-416.703,7,29128,763.917,2015-11-17,Standard Class,75.86,ID-2015-BD11620102-42321OFF-ST-6046DC-000000000001
PO-188501404,0 discount,2015-05-01,CA-2015-PO18850140-42125,High,94109,OFF-SU-2963,10.518,2,37646,35.06,2015-05-06,Standard Class,5.55,CA-2015-PO18850140-42125OFF-SU-2963PO-188501404
ML-1826558,0 discount,2015-06-07,IN-2015-ML1826558-42162,High,-,FUR-BO-5973,65.79,3,21240,438.84,2015-06-11,Standard Class,50.45,IN-2015-ML1826558-42162FUR-BO-5973ML-1826558
CL-1270066,0 discount,2015-06-18,IN-2015-CL1270066-42173,Low,-,OFF-AR-3525,20.37,1,25974,53.64,2015-06-25,Standard Class,4.15,IN-2015-CL1270066-42173OFF-AR-3525CL-1270066
MG-1769528,0 discount,2015-12-03,MX-2015-MG1769528-42341,Critical,-,OFF-AR-3534,11.88,3,2158,44.1,2015-12-05,First Class,18.576,MX-2015-MG1769528-42341OFF-AR-3534MG-1769528
DC-000000000001,0.5,2015-08-02,ID-2015-PK18910118-42218,Medium,-,OFF-SU-4125,-8.22,2,21576,10.5,2015-08-07,Standard Class,2.02,ID-2015-PK18910118-42218OFF-SU-4125DC-000000000001
AH-1019518,0 discount,2015-06-29,MX-2015-AH1019518-42184,Medium,-,OFF-EN-3655,14.88,4,5505,45.2,2015-07-02,First Class,11.334,MX-2015-AH1019518-42184OFF-EN-3655AH-1019518
RK-1930064,0 discount,2015-07-17,ES-2015-RK1930064-42202,Medium,-,OFF-PA-6610,1.68,4,11035,59.76,2015-07-21,Standard Class,5.03,ES-2015-RK1930064-42202OFF-PA-6610RK-1930064
DS-1318031,0 discount,2015-12-19,MX-2015-DS1318031-42357,Medium,-,OFF-EN-3093,3.42,3,5001,14.4,2015-12-23,Standard Class,1.234,MX-2015-DS1318031-42357OFF-EN-3093DS-1318031
BS-1175592,0 discount,2015-11-13,IN-2015-BS1175592-42321,Medium,-,FUR-BO-3630,112.8,2,30359,250.68,2015-11-18,Standard Class,16.12,IN-2015-BS1175592-42321FUR-BO-3630BS-1175592
JD-1589582,0 discount,2015-10-19,MX-2015-JD1589582-42296,Medium,-,OFF-FA-5486,8.04,2,9940,18.76,2015-10-23,Standard Class,1.476,MX-2015-JD1589582-42296OFF-FA-5486JD-1589582
SS-2041027,0 discount,2015-02-24,IN-2015-SS2041027-42059,Medium,-,OFF-ST-4029,8.76,2,27320,21.48,2015-03-01,Second Class,1.46,IN-2015-SS2041027-42059OFF-ST-4029SS-2041027
DC-000000000001,0 discount,2015-09-06,EG-2015-CM216038-42253,Medium,-,OFF-BI-2912,0.24,1,49042,6.12,2015-09-12,Standard Class,1.31,EG-2015-CM216038-42253OFF-BI-2912DC-000000000001
MP-1747039,0 discount,2015-05-23,MX-2015-MP1747039-42147,Medium,-,OFF-BI-3715,0.0,3,4808,58.32,2015-05-25,First Class,10.985,MX-2015-MP1747039-42147OFF-BI-3715MP-1747039
Dl-1360045,0.1,2015-10-23,IT-2015-Dl1360045-42300,High,-,FUR-BO-3900,-8.475,5,19049,762.075,2015-10-27,Second Class,111.18,IT-2015-Dl1360045-42300FUR-BO-3900Dl-1360045
AA-37569,0 discount,2015-06-14,KE-2015-AA37569-42169,High,-,OFF-SU-4310,9.3,2,45084,49.26,2015-06-17,Second Class,6.7,KE-2015-AA37569-42169OFF-SU-4310AA-37569
GP-4740110,0 discount,2015-05-11,SA-2015-GP4740110-42135,Medium,-,OFF-AR-5905,0.0,4,50502,214.8,2015-05-16,Standard Class,20.03,SA-2015-GP4740110-42135OFF-AR-5905GP-4740110
MA-1799559,0.17,2015-02-09,IN-2015-MA1799559-42044,Medium,-,OFF-ST-4293,30.9474,2,22560,95.2674,2015-02-12,First Class,11.44,IN-2015-MA1799559-42044OFF-ST-4293MA-1799559
EM-414069,0 discount,2015-03-05,KE-2015-EM414069-42068,Medium,-,OFF-BI-2918,15.6,8,43694,71.52,2015-03-09,Standard Class,5.57,KE-2015-EM414069-42068OFF-BI-2918EM-414069
EJ-1372082,0 discount,2015-12-20,MX-2015-EJ1372082-42358,Medium,-,OFF-EN-4445,20.04,3,267,77.1,2015-12-24,Second Class,5.384,MX-2015-EJ1372082-42358OFF-EN-4445EJ-1372082
GB-145751408,0 discount,2015-09-21,CA-2015-GB14575140-42268,Medium,29203,OFF-ST-5666,24.0688,7,37473,85.96,2015-09-26,Standard Class,5.61,CA-2015-GB14575140-42268OFF-ST-5666GB-145751408
DC-000000000001,0.17,2015-04-01,ID-2015-BN11470144-42095,Low,-,OFF-FA-3020,-4.329,5,28351,69.471,2015-04-07,Standard Class,4.26,ID-2015-BN11470144-42095OFF-FA-3020DC-000000000001
CP-23403,0 discount,2015-05-28,AG-2015-CP23403-42152,Medium,-,OFF-BI-2894,32.64,8,46214,109.44,2015-05-30,Second Class,13.8,AG-2015-CP23403-42152OFF-BI-2894CP-23403
AH-10120139,0.1,2015-06-28,ES-2015-AH10120139-42183,Medium,-,FUR-CH-4655,246.852,2,13817,822.852,2015-07-03,Standard Class,92.78,ES-2015-AH10120139-42183FUR-CH-4655AH-10120139
KH-166301406,0 discount,2015-09-18,CA-2015-KH16630140-42265,High,20735,TEC-PH-5822,129.9974,1,35028,499.99,2015-09-23,Standard Class,75.9,CA-2015-KH16630140-42265TEC-PH-5822KH-166301406
MH-1802548,0.1,2015-04-16,IT-2015-MH1802548-42110,High,-,FUR-CH-5773,-27.864,2,18104,835.056,2015-04-21,Standard Class,44.75,IT-2015-MH1802548-42110FUR-CH-5773MH-1802548
DC-000000000001,0 discount,2015-04-14,IN-2015-FG1426058-42108,High,-,OFF-LA-5403,21.84,8,24190,71.04,2015-04-16,Second Class,13.28,IN-2015-FG1426058-42108OFF-LA-5403DC-000000000001
JK-16120139,0 discount,2015-08-30,ES-2015-JK16120139-42246,Critical,-,OFF-LA-5401,11.76,4,19295,25.08,2015-08-30,Same Day,2.02,ES-2015-JK16120139-42246OFF-LA-5401JK-16120139
TT-212201404,0.2,2015-08-08,CA-2015-TT21220140-42224,High,94109,OFF-BI-5644,2.73,2,34228,7.28,2015-08-08,Same Day,2.13,CA-2015-TT21220140-42224OFF-BI-5644TT-212201404
DB-129107,0.1,2015-01-22,IN-2015-DB129107-42026,High,-,TEC-MA-5541,1.992,1,22189,45.252,2015-01-26,Standard Class,6.64,IN-2015-DB129107-42026TEC-MA-5541DB-129107
PB-19105139,0.5,2015-06-15,IT-2015-PB19105139-42170,Medium,-,TEC-PH-3135,-51.3,2,15671,73.26,2015-06-19,Standard Class,3.76,IT-2015-PB19105139-42170TEC-PH-3135PB-19105139
MM-1792055,0.4,2015-09-15,US-2015-MM1792055-42262,Critical,-,OFF-EN-4926,-16.5,5,8863,47.1,2015-09-17,First Class,16.993,US-2015-MM1792055-42262OFF-EN-4926MM-1792055
AS-1009064,0 discount,2015-11-09,ES-2015-AS1009064-42317,Medium,-,OFF-FA-2960,3.75,5,12007,55.65,2015-11-12,First Class,3.02,ES-2015-AS1009064-42317OFF-FA-2960AS-1009064
HW-14935139,0 discount,2015-12-28,ES-2015-HW14935139-42366,Medium,-,TEC-PH-5264,161.7,7,13775,1010.94,2016-01-03,Standard Class,8.02,ES-2015-HW14935139-42366TEC-PH-5264HW-14935139
MA-175601406,0 discount,2015-12-10,CA-2015-MA17560140-42348,High,10024,OFF-PA-6432,84.9436,7,35499,184.66,2015-12-10,Same Day,35.87,CA-2015-MA17560140-42348OFF-PA-6432MA-175601406
HA-149201404,0 discount,2015-07-30,CA-2015-HA14920140-42215,Critical,94109,FUR-FU-5679,2.3232,3,31569,5.28,2015-07-31,First Class,2.03,CA-2015-HA14920140-42215FUR-FU-5679HA-149201404
SG-20890139,0 discount,2015-10-30,ES-2015-SG20890139-42307,Medium,-,TEC-PH-5272,46.71,9,15700,1168.83,2015-11-03,Standard Class,107.88,ES-2015-SG20890139-42307TEC-PH-5272SG-20890139
DC-000000000001,0.4,2015-12-04,US-2015-BE1141098-42342,Medium,-,OFF-EN-3088,-6.32,5,8285,26.88,2015-12-09,Standard Class,2.145,US-2015-BE1141098-42342OFF-EN-3088DC-000000000001
SV-10815134,0.6,2015-11-05,TU-2015-SV10815134-42313,High,-,TEC-PH-5336,-289.032,4,45718,268.848,2015-11-10,Standard Class,41.61,TU-2015-SV10815134-42313TEC-PH-5336SV-10815134
PF-9225103,0 discount,2015-09-20,PL-2015-PF9225103-42267,Critical,-,OFF-AP-4501,89.91,1,47071,499.56,2015-09-22,First Class,81.72,PL-2015-PF9225103-42267OFF-AP-4501PF-9225103
MF-182501406,0 discount,2015-08-09,CA-2015-MF18250140-42225,Medium,10035,FUR-FU-5479,4.4088,3,38420,10.02,2015-08-16,Standard Class,1.76,CA-2015-MF18250140-42225FUR-FU-5479MF-182501406
KD-1627051,0 discount,2015-07-13,MX-2015-KD1627051-42198,Low,-,OFF-AR-6127,23.72,2,1596,60.92,2015-07-19,Standard Class,9.167,MX-2015-KD1627051-42198OFF-AR-6127KD-1627051
ES-1402027,0 discount,2015-06-20,IN-2015-ES1402027-42175,Critical,-,OFF-EN-5035,18.0,3,28252,112.95,2015-06-22,Second Class,32.42,IN-2015-ES1402027-42175OFF-EN-5035ES-1402027
PG-889561,0 discount,2015-03-02,IZ-2015-PG889561-42065,Medium,-,FUR-CH-5413,46.02,1,47957,164.46,2015-03-07,Standard Class,5.82,IZ-2015-PG889561-42065FUR-CH-5413PG-889561
SA-10830108,0 discount,2015-06-21,RS-2015-SA10830108-42176,Medium,-,FUR-FU-4104,16.26,2,50423,60.24,2015-06-25,Standard Class,4.61,RS-2015-SA10830108-42176FUR-FU-4104SA-10830108
