Return ID,Order ID,Customer ID,Product ID,Order Date,Return Date,Return Amount,Order Line ID,Return Line ID
49332,MX-2014-KH1636039-41938,KH-1636039,OFF-AR-3459,2014-10-26,2014-10-31,59.22,MX-2014-KH1636039-41938OFF-AR-3459KH-1636039,49332MX-2014-KH1636039-41938OFF-AR-3459KH-1636039
30036,TU-2014-PW9240134-41701,PW-9240134,TEC-MA-5576,2014-03-03,2014-03-23,94.44,TU-2014-PW9240134-41701TEC-MA-5576PW-9240134,30036TU-2014-PW9240134-41701TEC-MA-5576PW-9240134
37221,ZA-2014-AH690147-41681,AH-690147,TEC-CO-4580,2014-02-11,2014-03-08,444.96,ZA-2014-AH690147-41681TEC-CO-4580AH-690147,37221ZA-2014-AH690147-41681TEC-CO-4580AH-690147
19180,MX-2014-KM1672018-41972,KM-1672018,OFF-AR-5923,2014-11-29,2014-12-15,58.02,MX-2014-KM1672018-41972OFF-AR-5923KM-1672018,19180MX-2014-KM1672018-41972OFF-AR-5923KM-1672018
1142,CA-2014-MS17710140-41721,MS-177101404,FUR-FU-3913,2014-03-23,2014-03-26,40.48,CA-2014-MS17710140-41721FUR-FU-3913MS-177101404,1142CA-2014-MS17710140-41721FUR-FU-3913MS-177101404
15358,CA-2014-KM16720140-41746,KM-167201402,OFF-EN-3653,2014-04-17,2014-05-14,149.352,CA-2014-KM16720140-41746OFF-EN-3653KM-167201402,15358CA-2014-KM16720140-41746OFF-EN-3653KM-167201402
62558,US-2014-CC1255055-41819,CC-1255055,OFF-PA-4481,2014-06-29,2014-07-02,16.656,US-2014-CC1255055-41819OFF-PA-4481CC-1255055,62558US-2014-CC1255055-41819OFF-PA-4481CC-1255055
64216,US-2014-HL15040140-41660,HL-150401408,OFF-AR-5305,2014-01-21,2014-02-06,6.63,US-2014-HL15040140-41660OFF-AR-5305HL-150401408,64216US-2014-HL15040140-41660OFF-AR-5305HL-150401408
63520,CA-2014-NB18580140-41907,NB-185801406,OFF-AP-3369,2014-09-25,2014-10-01,143.952,CA-2014-NB18580140-41907OFF-AP-3369NB-185801406,63520CA-2014-NB18580140-41907OFF-AP-3369NB-185801406
50865,CA-2014-RW19630140-41817,DC-000000000001,OFF-FA-6129,2014-06-27,2014-07-04,6.08,CA-2014-RW19630140-41817OFF-FA-6129DC-000000000001,50865CA-2014-RW19630140-41817OFF-FA-6129DC-000000000001
31456,IN-2014-LD1685578-41925,LD-1685578,OFF-ST-6032,2014-10-13,2014-10-14,385.2,IN-2014-LD1685578-41925OFF-ST-6032LD-1685578,31456IN-2014-LD1685578-41925OFF-ST-6032LD-1685578
53001,ID-2014-DK1283592-41895,DK-1283592,OFF-LA-3300,2014-09-13,2014-10-01,27.216,ID-2014-DK1283592-41895OFF-LA-3300DK-1283592,53001ID-2014-DK1283592-41895OFF-LA-3300DK-1283592
13754,IN-2014-ZD2192511-41977,ZD-2192511,FUR-FU-3034,2014-12-04,2014-12-22,324.45,IN-2014-ZD2192511-41977FUR-FU-3034ZD-2192511,13754IN-2014-ZD2192511-41977FUR-FU-3034ZD-2192511
54839,IN-2014-AO108107-41981,AO-108107,FUR-BO-5798,2014-12-08,2014-12-29,270.594,IN-2014-AO108107-41981FUR-BO-5798AO-108107,54839IN-2014-AO108107-41981FUR-BO-5798AO-108107
45375,CA-2014-MG17875140-41694,MG-178751402,OFF-BI-4352,2014-02-24,2014-03-13,4.428,CA-2014-MG17875140-41694OFF-BI-4352MG-178751402,45375CA-2014-MG17875140-41694OFF-BI-4352MG-178751402
36041,TU-2014-SG10605134-41779,SG-10605134,OFF-AR-5902,2014-05-20,2014-06-01,20.208,TU-2014-SG10605134-41779OFF-AR-5902SG-10605134,36041TU-2014-SG10605134-41779OFF-AR-5902SG-10605134
